0;1000;0.1400;-0.0200;9.8000;0.0000;0.0000;-0.1250;56.5625;3.6875;-29.7500;-0.0300;0.0100;-0.3600;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;-0.1250;0.1875;-0.1250;56.8750;3.6875;-28.8750;-0.0200;0.0000;-0.3200;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;0.1250;0.0000;-0.0625;56.5625;4.0625;-29.7500;-0.0200;0.0000;-0.3000;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;0.1250;0.0625;-0.0625;56.8750;4.3750;-29.7500;-0.0400;0.0300;-0.3100;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;0.0625;0.0625;0.0625;57.2500;4.3750;-29.3750;-0.0100;0.0000;-0.3400;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;0.1250;0.0625;-0.1250;56.8750;4.0625;-29.3750;-0.0300;0.0000;-0.2600;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;0.0625;0.0000;0.0000;57.2500;4.0625;-29.3750;-0.0200;0.0100;-0.2900;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1400;-0.0200;9.8000;-0.0625;-0.0625;0.1250;56.5625;3.2500;-29.3750;-0.0400;0.0000;-0.3000;359.9375;0.1250;0.8125;16384;-18;-125;3;
0;1000;0.1200;0.0200;9.8000;-0.2500;-0.0625;-0.0625;56.1875;3.2500;-28.8750;-0.0200;-0.0300;-0.3400;359.9375;-0.1250;0.6875;16384;19;-106;0;
0;1000;0.1000;0.0700;9.8000;-1.0625;0.0000;0.0625;35.3750;1.8750;-16.7500;0.0000;0.0400;-0.0900;359.9375;-0.3750;0.6250;16384;57;-91;3;
0;1000;0.1200;0.0100;9.8000;-0.3750;0.1250;0.0000;34.5000;2.1875;-17.6875;0.0100;-0.0600;-0.3700;359.9375;-0.0625;0.6875;16384;12;-102;2;
0;1000;0.1100;0.0600;9.8000;-0.1875;0.0625;0.0000;34.5000;2.5625;-18.5625;-0.0600;0.0200;-0.2400;359.9375;-0.3750;0.6250;16384;55;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0625;0.1875;0.0000;34.1875;1.7500;-17.6875;0.0000;0.0000;-0.3400;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.0000;-0.0625;33.7500;1.7500;-18.5625;0.0000;-0.0100;-0.2900;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.0000;0.1250;33.3750;2.1875;-17.1875;-0.0100;-0.0200;-0.3300;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.1875;0.0000;0.0625;34.8750;1.7500;-16.3750;-0.0200;-0.0100;-0.3500;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.1250;-0.1250;33.7500;2.1875;-18.0625;-0.0300;-0.0200;-0.3000;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.0625;-0.0625;34.1875;2.1875;-18.5625;-0.0200;-0.0100;-0.3100;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.0000;-0.0625;34.1875;2.1875;-18.0625;-0.0100;0.0000;-0.3200;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.0625;0.0000;34.5000;2.5625;-17.1875;0.0000;0.0000;-0.3200;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0625;-0.0625;0.0625;34.1875;2.5625;-17.1875;0.0000;0.0100;-0.3000;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.1875;-0.1250;0.0625;34.5000;2.1875;-17.1875;-0.0100;0.0000;-0.3000;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;-0.3125;0.0625;0.0000;33.7500;2.1875;-17.1875;-0.0400;0.0000;-0.3400;359.9375;-0.3750;0.6250;16384;56;-95;3;
0;1000;0.1100;0.0600;9.8000;0.0000;0.1250;0.0000;34.1875;2.8750;-17.1875;-0.0200;0.0000;-0.3100;359.9375;-0.3750;0.6250;16384;56;-95;3;
